quarter,n_long,n_short,n_universe,ret_long_avg,ret_short_avg,ret_ls,long_tickers,short_tickers,equity
2024Q1,3,3,14,0.019745861626170313,0.027230702352580478,-0.007484840726410164,"GS,PLTR,FDX","JNJ,C,WFC",0.9925151592735898
2024Q2,3,3,14,0.008904022236263928,0.02526433613489454,-0.01636031389863061,"AMD,BLK,PLTR","NKE,JPM,WFC",0.9762772997187246
2024Q3,3,3,13,-0.010849414349508923,-0.0002874268668903168,-0.010561987482618607,"BLK,AMD,GS","INTC,FDX,WFC",0.9659658710995307
2024Q4,3,3,15,-0.016332305354802085,-0.0005903278085120552,-0.01574197754629003,"BLK,AMD,GS","C,NKE,WFC",0.9507596580461994
2025Q1,3,3,14,0.0024912753764107696,0.009799238595720369,-0.007307963219309599,"GS,BLK,AMD","INTC,FDX,FAST",0.9438115414347944
2025Q2,3,3,14,0.06368583914785186,0.03150486338220985,0.032180975765642016,"AMD,BLK,GS","FAST,WFC,INTC",0.9741843177770407
2025Q3,3,3,14,-0.00028489967779665726,0.04135282867943894,-0.041637728357235594,"C,NVDA,BLK","PLTR,AMD,INTC",0.9336214957835615
2025Q4,3,3,14,-0.028583728031308115,0.007076170341977124,-0.03565989837328524,"GS,BLK,JNJ","FAST,PLTR,NKE",0.9003286481248052
2026Q1,3,3,14,-0.0039123519615791675,0.006174137846864862,-0.01008648980844403,"GS,AMD,BLK","JPM,NVDA,INTC",0.8912474923912441
