ticker,call_date,traded,direction,excess_21d,equity
FAST,2025-04-11,0,0,-0.09962294012191697,1.0
BLK,2025-04-11,1,1,-0.0032605325502650384,0.996739467449735
WFC,2025-04-11,1,-1,0.11896897973452236,0.8781583899461088
JPM,2025-04-11,1,1,0.041825649143976795,0.9148879346568344
GS,2025-04-14,1,1,0.11435863879142372,1.019513273510887
C,2025-04-15,0,0,0.08893517611608681,1.019513273510887
JNJ,2025-04-15,0,0,-0.14715159983402104,1.019513273510887
INTC,2025-04-24,1,-1,-0.04863129693174617,1.0690935262408514
PLTR,2025-05-05,0,0,0.04021449386196818,1.0690935262408514
AMD,2025-05-06,1,1,0.09003194344483889,1.165346094132611
NVDA,2025-05-28,0,0,0.08795256233468485,1.165346094132611
AVGO,2025-06-05,0,0,0.08382724786902784,1.165346094132611
FDX,2025-06-24,0,0,0.04611483095514646,1.165346094132611
NKE,2025-06-26,0,0,0.05421828074844881,1.165346094132611
FAST,2025-07-14,0,0,0.053838117891587434,1.165346094132611
C,2025-07-15,1,1,0.027221531268454724,1.1970685992726136
JPM,2025-07-15,0,0,-0.0040303233014480355,1.1970685992726136
BLK,2025-07-15,1,1,0.038789345087743454,1.2435021062635006
WFC,2025-07-15,0,0,-0.03946655231803187,1.2435021062635006
JNJ,2025-07-16,1,1,0.05929321867558257,1.3172333485737298
GS,2025-07-16,0,0,0.010727929803584058,1.3172333485737298
INTC,2025-07-24,1,-1,0.17756144685444708,1.08334348935605
PLTR,2025-08-04,0,0,-0.13254306516864978,1.08334348935605
AMD,2025-08-05,0,0,-0.0962943213463584,1.08334348935605
NVDA,2025-08-27,1,1,-0.013420929483702881,1.068804012778774
AVGO,2025-09-04,0,0,-0.03586061759162429,1.068804012778774
FDX,2025-09-18,0,0,0.02332792622959934,1.068804012778774
NKE,2025-09-30,0,0,-0.14236133724989064,1.068804012778774
FAST,2025-10-13,0,0,-0.07357498051220601,1.068804012778774
WFC,2025-10-14,1,1,-0.030684438723953766,1.0360083615407478
JPM,2025-10-14,0,0,0.002070029313827826,1.0360083615407478
C,2025-10-14,0,0,-0.0014085625408517544,1.0360083615407478
BLK,2025-10-14,1,1,-0.12087287505703437,0.9107830522981901
JNJ,2025-10-14,1,1,0.011014090893572526,0.9208144996205279
GS,2025-10-15,1,1,0.02620348497716818,0.944943048528093
INTC,2025-10-23,0,0,-0.05246665144426943,0.944943048528093
PLTR,2025-11-03,0,0,-0.08076272183353628,0.944943048528093
AMD,2025-11-04,0,0,-0.16161983586840722,0.944943048528093
NVDA,2025-11-19,0,0,-0.03261519099930266,0.944943048528093
AVGO,2025-12-11,0,0,-0.06829180670371404,0.944943048528093
NKE,2025-12-18,0,0,0.1026444268538853,0.944943048528093
FDX,2025-12-18,0,0,0.06049612812549299,0.944943048528093
JPM,2026-01-13,0,0,-0.0048083119383979245,0.944943048528093
C,2026-01-13,1,1,-0.0013171026104473738,0.9436984615721525
GS,2026-01-15,1,1,-0.021622791192801416,0.9232930667886099
BLK,2026-01-15,1,1,-0.05319881754779188,0.8741749673853814
WFC,2026-01-15,0,0,0.009800586890737262,0.8741749673853814
FAST,2026-01-20,0,0,0.03021084412623387,0.8741749673853814
JNJ,2026-01-21,1,1,0.13474212326889035,0.9919631585994007
INTC,2026-01-22,0,0,0.026024765417579476,0.9919631585994007
PLTR,2026-02-02,0,0,-0.02107857893398979,0.9919631585994007
AMD,2026-02-03,1,1,-0.018637605738696772,0.9734753403421127
NVDA,2026-02-25,0,0,-0.013852032559159788,0.9734753403421127
AVGO,2026-03-04,1,1,-0.022264641669373808,0.9518012607154238
