ticker,call_date,traded,direction,excess_5d,equity
JPM,2025-04-11,1,1,0.02572387591405234,1.0257238759140523
FAST,2025-04-11,0,0,0.023739362416894227,1.0257238759140523
WFC,2025-04-11,1,-1,0.07162123483693805,0.9522602653193577
BLK,2025-04-11,1,1,0.01894971810786983,0.9703053289124848
GS,2025-04-14,1,1,0.046248041329306155,1.0151800498660752
JNJ,2025-04-15,0,0,-0.03337972815851109,1.0151800498660752
C,2025-04-15,0,0,0.05757772069237577,1.0151800498660752
INTC,2025-04-24,1,-1,-0.0008460071072027286,1.0160388994033525
PLTR,2025-05-05,1,1,0.12656179152492752,1.1446306027708564
AMD,2025-05-06,1,1,0.1258597580063796,1.2886935334422929
NVDA,2025-05-28,0,0,0.0006632461652782418,1.2886935334422929
AVGO,2025-06-05,0,0,0.010739851430080938,1.2886935334422929
FDX,2025-06-24,1,1,0.055251055431239315,1.3598952112923925
NKE,2025-06-26,1,1,0.0529429356535247,1.431892055959382
FAST,2025-07-14,1,1,0.03240714464856498,1.4782955889379887
BLK,2025-07-15,1,1,0.019228429767157218,1.5067208918449813
C,2025-07-15,1,1,0.050314556057893034,1.5825308846213142
WFC,2025-07-15,1,1,0.03142421486698277,1.6322606751732907
JPM,2025-07-15,1,1,0.022271789657761998,1.6686140415973867
GS,2025-07-16,0,0,0.008740821403144139,1.6686140415973867
JNJ,2025-07-16,1,1,0.030214467446395776,1.71903032623783
INTC,2025-07-24,1,-1,-0.04300917278422711,1.7929643985603188
PLTR,2025-08-04,0,0,0.055626670115035415,1.7929643985603188
AMD,2025-08-05,0,0,0.11144098870750851,1.7929643985603188
NVDA,2025-08-27,1,1,-0.07039768485844022,1.6667438558680667
AVGO,2025-09-04,1,1,0.05887874842219243,1.7648796480419575
FDX,2025-09-18,1,1,0.02902466126146397,1.816104681993627
NKE,2025-09-30,1,1,-0.07583924691785748,1.6783726705872353
FAST,2025-10-13,0,0,-0.00034771789238341455,1.6783726705872353
JPM,2025-10-14,1,1,-0.04183545345021911,1.608157188854763
JNJ,2025-10-14,1,1,0.0053049134551577115,1.6166883235639273
WFC,2025-10-14,1,1,-0.03379429400797096,1.5620534830381543
BLK,2025-10-14,1,1,-0.0645812915580476,1.4611740516208034
C,2025-10-14,0,0,-0.03883057030615589,1.4611740516208034
GS,2025-10-15,1,1,-0.026474805991034467,1.4224897520850088
INTC,2025-10-23,0,0,0.03756867540684494,1.4224897520850088
PLTR,2025-11-03,0,0,-0.010338815901682397,1.4224897520850088
AMD,2025-11-04,0,0,0.0014273794077597213,1.4224897520850088
NVDA,2025-11-19,0,0,-0.06744339262140919,1.4224897520850088
AVGO,2025-12-11,1,1,-0.05265558348562771,1.3475877241866467
FDX,2025-12-18,1,1,0.0035652031086470526,1.3523921481300916
NKE,2025-12-18,0,0,0.031915044819997185,1.3523921481300916
JPM,2026-01-13,0,0,-0.01177305096038117,1.3523921481300916
C,2026-01-13,1,1,0.030910981742935273,1.39419591713023
GS,2026-01-15,1,1,-0.032877590069706364,1.348358115289964
BLK,2026-01-15,1,1,-0.03733714161889412,1.2980142773863974
WFC,2026-01-15,1,1,-0.005280824463825717,1.2911596918359802
FAST,2026-01-20,1,1,-0.036811510271072434,1.2436301535783654
JNJ,2026-01-21,1,1,0.032932199348553404,1.2845856297118803
INTC,2026-01-22,1,-1,0.027087388470532048,1.2497895597362116
PLTR,2026-02-02,1,1,-0.12011038719799239,1.0996768518002868
AMD,2026-02-03,1,1,0.05847767580386298,1.1639833982288768
NVDA,2026-02-25,0,0,0.0032080760304437073,1.1639833982288768
AVGO,2026-03-04,1,1,0.031999638269079145,1.2012304459234144
FDX,2026-03-19,1,1,-0.019139796409323284,1.1782391397477596
NKE,2026-03-31,0,0,-0.05176639009889705,1.1782391397477596
