ticker,call_date,traded,direction,excess_21d,equity
FAST,2025-04-11,1,-1,-0.09962294012191697,1.0996229401219169
BLK,2025-04-11,1,1,-0.0032605325502650384,1.0960375837326313
WFC,2025-04-11,1,-1,0.11896897973452236,0.965643110645269
JPM,2025-04-11,1,1,0.041825649143976795,1.0060317605894165
GS,2025-04-14,1,1,0.11435863879142372,1.1210801833113615
C,2025-04-15,1,-1,0.08893517611608681,1.0213767197683106
JNJ,2025-04-15,1,1,-0.14715159983402104,0.8710795014211791
INTC,2025-04-24,1,-1,-0.04863129693174617,0.9134412273059498
PLTR,2025-05-05,1,1,0.04021449386196818,0.9501748039347135
AMD,2025-05-06,1,1,0.09003194344483889,1.0357208881452746
NVDA,2025-05-28,1,1,0.08795256233468485,1.126815194121207
AVGO,2025-06-05,1,-1,0.08382724786902784,1.032357377541022
FDX,2025-06-24,1,-1,0.04611483095514646,0.9847503915904194
NKE,2025-06-26,1,-1,0.05421828074844881,0.9313589183920252
FAST,2025-07-14,1,-1,0.053838117891587434,0.881216307144254
C,2025-07-15,1,1,0.027221531268454724,0.9052043644034535
JPM,2025-07-15,1,-1,-0.0040303233014480355,0.9088526306458812
BLK,2025-07-15,1,1,0.038789345087743454,0.9441064289699077
WFC,2025-07-15,1,1,-0.03946655231803187,0.9068458031971766
JNJ,2025-07-16,1,1,0.05929321867558257,0.9606156097111811
GS,2025-07-16,1,1,0.010727929803584058,0.9709210265403897
INTC,2025-07-24,1,-1,0.17756144685444708,0.7985228842864731
PLTR,2025-08-04,1,1,-0.13254306516864978,0.6926842135958329
AMD,2025-08-05,1,1,-0.0962943213463584,0.6259826573402861
NVDA,2025-08-27,1,1,-0.013420929483702881,0.6175813882381012
AVGO,2025-09-04,1,-1,-0.03586061759162429,0.6397282382334122
FDX,2025-09-18,1,1,0.02332792622959934,0.6546517713819128
NKE,2025-09-30,1,-1,-0.14236133724989064,0.7478488729888516
FAST,2025-10-13,1,1,-0.07357498051220601,0.6928259067326217
WFC,2025-10-14,1,1,-0.030684438723953766,0.6715669326511169
JPM,2025-10-14,1,1,0.002070029313827826,0.6729570958879021
C,2025-10-14,1,1,-0.0014085625408517544,0.672009193731034
BLK,2025-10-14,1,1,-0.12087287505703437,0.5907815104200043
JNJ,2025-10-14,1,1,0.011014090893572526,0.5972884316740122
GS,2025-10-15,1,1,0.02620348497716818,0.6129394701204186
INTC,2025-10-23,1,1,-0.05246665144426943,0.5807805885851755
PLTR,2025-11-03,1,-1,-0.08076272183353628,0.6276860097073974
AMD,2025-11-04,1,1,-0.16161983586840722,0.5262394998415924
NVDA,2025-11-19,1,1,-0.03261519099930266,0.5090760980428813
AVGO,2025-12-11,1,1,-0.06829180670371404,0.47431037155785594
NKE,2025-12-18,1,-1,0.1026444268538853,0.4256250553184464
FDX,2025-12-18,1,1,0.06049612812549299,0.4513737231984112
JPM,2026-01-13,1,-1,-0.0048083119383979245,0.4535440688603452
C,2026-01-13,1,1,-0.0013171026104473738,0.45294670478329635
GS,2026-01-15,1,1,-0.021622791192801416,0.4431527327642997
BLK,2026-01-15,1,1,-0.05319881754779188,0.41957753138816634
WFC,2026-01-15,1,1,0.009800586890737262,0.42368963744193705
FAST,2026-01-20,1,-1,0.03021084412623387,0.4108896158472781
JNJ,2026-01-21,1,1,0.13474212326889035,0.46625375511567907
INTC,2026-01-22,1,1,0.026024765417579476,0.47838789971763024
PLTR,2026-02-02,1,1,-0.02107857893398979,0.46830416261236657
AMD,2026-02-03,1,1,-0.018637605738696772,0.45957609426380674
NVDA,2026-02-25,1,1,-0.013852032559159788,0.453210031242653
AVGO,2026-03-04,1,1,-0.022264641669373808,0.4431194722960696
