ticker,call_date,traded,direction,excess_5d,equity
JPM,2025-04-11,1,1,0.02572387591405234,1.0257238759140523
FAST,2025-04-11,1,-1,0.023739362416894227,1.0013738450840672
WFC,2025-04-11,1,1,0.07162123483693805,1.073093476402401
BLK,2025-04-11,1,1,0.01894971810786983,1.0934282952836203
GS,2025-04-14,1,1,0.046248041329306155,1.1439972122745299
JNJ,2025-04-15,1,1,-0.03337972815851109,1.1058108963147115
C,2025-04-15,1,1,0.05757772069237577,1.1694809672413058
INTC,2025-04-24,1,-1,-0.0008460071072027286,1.1704703564513304
PLTR,2025-05-05,1,1,0.12656179152492752,1.3186071816906313
AMD,2025-05-06,1,1,0.1258597580063796,1.4845667624836885
NVDA,2025-05-28,1,1,0.0006632461652782418,1.4855513956960054
AVGO,2025-06-05,1,1,0.010739851430080938,1.5015059969775297
FDX,2025-06-24,1,1,0.055251055431239315,1.5844657880468735
NKE,2025-06-26,1,1,0.0529429356535247,1.6683520583086504
FAST,2025-07-14,1,1,0.03240714464856498,1.72241858478699
BLK,2025-07-15,1,1,0.019228429767157218,1.755537989574213
C,2025-07-15,1,1,0.050314556057893034,1.8438671041624055
WFC,2025-07-15,1,1,0.03142421486698277,1.9018091802297663
JPM,2025-07-15,1,1,0.022271789657761998,1.9441658742610444
GS,2025-07-16,1,1,0.008740821403144139,1.9611594809460478
JNJ,2025-07-16,1,1,0.030214467446395776,2.0204148702402827
INTC,2025-07-24,1,1,-0.04300917278422711,1.9335184979902966
PLTR,2025-08-04,1,1,0.055626670115035415,2.0410736936393215
AMD,2025-08-05,1,1,0.11144098870750851,2.2685329640833736
NVDA,2025-08-27,1,1,-0.07039768485844022,2.108833495386849
AVGO,2025-09-04,1,1,0.05887874842219243,2.232998972226024
FDX,2025-09-18,1,1,0.02902466126146397,2.2978110109920813
NKE,2025-09-30,1,1,-0.07583924691785748,2.1235467543588813
FAST,2025-10-13,1,1,-0.00034771789238341455,2.122808359157078
JPM,2025-10-14,1,1,-0.04183545345021911,2.033999708863826
JNJ,2025-10-14,1,1,0.0053049134551577115,2.0447899012871646
WFC,2025-10-14,1,1,-0.03379429400797096,1.9756876701785362
BLK,2025-10-14,1,1,-0.0645812915580476,1.8480952087230964
C,2025-10-14,1,1,-0.03883057030615589,1.7763326177883043
GS,2025-10-15,1,1,-0.026474805991034467,1.7293045563568126
INTC,2025-10-23,1,1,0.03756867540684494,1.7942722379141596
PLTR,2025-11-03,1,1,-0.010338815901682397,1.7757215875688654
AMD,2025-11-04,1,1,0.0014273794077597213,1.7782562159968756
NVDA,2025-11-19,1,1,-0.06744339262140919,1.6583245838399367
AVGO,2025-12-11,1,1,-0.05265558348562771,1.571004535269284
FDX,2025-12-18,1,1,0.0035652031086470526,1.5766054855221248
NKE,2025-12-18,1,-1,0.031915044819997185,1.5262880507882328
JPM,2026-01-13,1,1,-0.01177305096038117,1.5083189837860822
C,2026-01-13,1,1,0.030910981742935273,1.5549426043564167
GS,2026-01-15,1,1,-0.032877590069706364,1.503819838828465
BLK,2026-01-15,1,1,-0.03733714161889412,1.447671504536824
WFC,2026-01-15,1,1,-0.005280824463825717,1.4400266054400825
FAST,2026-01-20,1,1,-0.036811510271072434,1.3870170512633073
JNJ,2026-01-21,1,1,0.032932199348553404,1.4326945732953533
INTC,2026-01-22,1,1,0.027087388470532048,1.4715025277618277
PLTR,2026-02-02,1,1,-0.12011038719799239,1.29475978938953
AMD,2026-02-03,1,1,0.05847767580386298,1.3704743325973288
NVDA,2026-02-25,1,1,0.0032080760304437073,1.3748709184540724
AVGO,2026-03-04,1,1,0.031999638269079145,1.4188662905112794
FDX,2026-03-19,1,1,-0.019139796409323284,1.3917094785788418
NKE,2026-03-31,1,-1,-0.05176639009889705,1.4637532543512866
